"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2024","1,966.9","1,981.3","1,982.8","1,950.8","","-0.75%"
"01/08/2024","1,981.7","1,951.5","1,985.0","1,934.0","","1.54%"
"01/07/2024","1,951.7","1,947.6","1,952.0","1,947.0","","0.16%"
"01/05/2024","1,948.6","1,954.5","1,968.0","1,918.1","","-0.31%"
"01/04/2024","1,954.7","1,959.3","1,967.9","1,942.7","","-0.23%"
"01/03/2024","1,959.3","2,013.2","2,013.2","1,951.0","","-2.67%"
"01/02/2024","2,013.1","2,031.2","2,038.5","1,999.5","","-0.88%"
"01/01/2024","2,031.0","2,024.7","2,033.3","2,024.7","","0.44%"
"12/29/2023","2,022.2","2,058.1","2,063.2","2,019.6","","-1.74%"
"12/28/2023","2,058.1","2,067.9","2,073.2","2,049.9","","-0.47%"
"12/27/2023","2,067.8","2,059.1","2,072.9","2,052.2","","0.43%"
"12/26/2023","2,059.0","2,043.4","2,064.4","2,035.2","","0.77%"
"12/25/2023","2,043.2","2,029.2","2,044.3","2,029.2","","0.71%"
"12/22/2023","2,028.8","2,013.3","2,046.2","2,007.2","","0.76%"
"12/21/2023","2,013.5","1,991.8","2,016.7","1,988.8","","1.09%"
"12/20/2023","1,991.8","2,020.3","2,041.3","1,979.2","","-1.41%"
"12/19/2023","2,020.3","1,980.0","2,026.1","1,978.8","","2.05%"
"12/18/2023","1,979.8","1,990.0","2,000.8","1,979.2","","-0.52%"
"12/17/2023","1,990.2","1,991.8","1,991.8","1,986.2","","0.14%"
"12/15/2023","1,987.5","1,996.2","2,023.7","1,972.8","","-0.43%"
"12/14/2023","1,996.0","1,954.8","2,014.5","1,954.8","","2.11%"
"12/13/2023","1,954.8","1,887.3","1,955.0","1,868.5","","3.57%"
"12/12/2023","1,887.5","1,885.7","1,902.2","1,865.2","","0.10%"
"12/11/2023","1,885.7","1,902.9","1,903.5","1,870.5","","-0.91%"
"12/10/2023","1,903.0","1,897.2","1,904.8","1,897.2","","1.44%"
"12/08/2023","1,876.0","1,864.8","1,888.2","1,855.8","","0.60%"
"12/07/2023","1,864.8","1,850.8","1,867.2","1,842.3","","0.75%"
"12/06/2023","1,850.9","1,859.8","1,891.4","1,849.0","","-0.47%"
"12/05/2023","1,859.7","1,877.5","1,883.4","1,851.8","","-0.95%"
"12/04/2023","1,877.5","1,862.9","1,882.3","1,852.8","","0.78%"
"12/03/2023","1,863.0","1,863.5","1,864.8","1,862.1","","-0.04%"
"12/01/2023","1,863.8","1,808.8","1,864.8","1,793.1","","3.05%"
"11/30/2023","1,808.7","1,800.2","1,817.7","1,796.4","","0.47%"
"11/29/2023","1,800.3","1,794.5","1,829.9","1,793.9","","0.32%"
"11/28/2023","1,794.5","1,802.2","1,804.8","1,784.3","","-0.43%"
"11/27/2023","1,802.2","1,802.6","1,803.8","1,785.0","","-0.02%"
"11/26/2023","1,802.6","1,805.8","1,805.8","1,801.8","","-0.14%"
"11/24/2023","1,805.1","1,794.7","1,810.0","1,790.3","","0.57%"
"11/23/2023","1,794.8","1,791.8","1,798.5","1,791.2","","0.17%"
"11/22/2023","1,791.7","1,782.5","1,806.6","1,782.5","","0.52%"
"11/21/2023","1,782.5","1,807.0","1,808.8","1,780.0","","-1.36%"
"11/20/2023","1,807.0","1,796.2","1,807.9","1,786.9","","0.60%"
"11/19/2023","1,796.2","1,794.3","1,797.2","1,793.2","","0.12%"
"11/17/2023","1,794.0","1,773.5","1,797.9","1,772.7","","1.14%"
"11/16/2023","1,773.7","1,798.6","1,805.8","1,763.0","","-1.39%"
"11/15/2023","1,798.7","1,800.8","1,830.7","1,795.0","","-0.12%"
"11/14/2023","1,800.8","1,704.3","1,802.4","1,700.0","","5.67%"
"11/13/2023","1,704.2","1,698.5","1,709.7","1,687.0","","0.34%"
"11/12/2023","1,698.5","1,701.4","1,702.3","1,698.5","","-0.06%"
"11/10/2023","1,699.5","1,683.9","1,709.2","1,679.8","","0.92%"
"11/09/2023","1,684.0","1,710.6","1,726.0","1,682.1","","-1.55%"
"11/08/2023","1,710.5","1,730.2","1,735.3","1,706.2","","-1.13%"
"11/07/2023","1,730.1","1,734.0","1,738.6","1,719.2","","-0.21%"
"11/06/2023","1,733.8","1,757.4","1,764.1","1,727.5","","-1.35%"
"11/05/2023","1,757.5","1,759.2","1,761.7","1,755.7","","-0.06%"
"11/03/2023","1,758.5","1,712.2","1,771.3","1,711.8","","2.72%"
"11/02/2023","1,712.0","1,672.8","1,715.3","1,669.0","","2.34%"
"11/01/2023","1,672.8","1,654.7","1,673.0","1,644.5","","1.09%"
"10/31/2023","1,654.7","1,643.5","1,664.3","1,636.2","","0.68%"
"10/30/2023","1,643.5","1,643.0","1,662.4","1,633.8","","0.04%"
"10/29/2023","1,642.9","1,641.0","1,644.2","1,638.7","","0.45%"
"10/27/2023","1,635.6","1,661.0","1,666.1","1,631.0","","-1.57%"
"10/26/2023","1,661.7","1,647.7","1,671.0","1,639.0","","0.86%"
"10/25/2023","1,647.6","1,677.7","1,678.5","1,645.6","","-1.80%"
"10/24/2023","1,677.8","1,674.2","1,691.0","1,667.6","","0.22%"
"10/23/2023","1,674.2","1,683.8","1,687.7","1,659.2","","-0.57%"
"10/22/2023","1,683.8","1,681.2","1,684.9","1,678.0","","0.36%"
"10/20/2023","1,677.8","1,696.1","1,702.2","1,676.3","","-1.08%"
"10/19/2023","1,696.1","1,727.7","1,736.1","1,694.5","","-1.83%"
"10/18/2023","1,727.8","1,762.8","1,767.5","1,725.3","","-1.99%"
"10/17/2023","1,762.9","1,745.2","1,781.0","1,734.3","","1.01%"
"10/16/2023","1,745.3","1,722.9","1,750.4","1,719.5","","1.29%"
"10/15/2023","1,723.0","1,717.5","1,723.3","1,716.8","","0.56%"
"10/13/2023","1,713.4","1,733.8","1,740.8","1,710.7","","-1.17%"
"10/12/2023","1,733.6","1,779.8","1,787.2","1,722.3","","-2.60%"
"10/11/2023","1,779.8","1,776.0","1,788.2","1,759.6","","0.21%"
"10/10/2023","1,776.0","1,755.8","1,786.2","1,752.5","","1.15%"
"10/09/2023","1,755.8","1,730.1","1,761.2","1,721.2","","1.49%"
"10/08/2023","1,730.1","1,733.8","1,734.5","1,723.8","","-0.97%"
"10/06/2023","1,747.1","1,725.0","1,754.5","1,708.9","","1.29%"
"10/05/2023","1,724.8","1,721.8","1,733.2","1,713.2","","0.16%"
"10/04/2023","1,722.0","1,724.2","1,730.7","1,703.2","","-0.14%"
"10/03/2023","1,724.5","1,755.2","1,758.0","1,716.8","","-1.75%"
"10/02/2023","1,755.2","1,791.5","1,795.0","1,745.4","","-2.02%"
"10/01/2023","1,791.3","1,796.8","1,796.8","1,787.5","","0.51%"
"09/29/2023","1,782.2","1,793.4","1,807.1","1,775.8","","-0.62%"
"09/28/2023","1,793.4","1,779.5","1,801.2","1,768.5","","0.78%"
"09/27/2023","1,779.5","1,764.8","1,785.2","1,759.8","","0.83%"
"09/26/2023","1,764.8","1,783.8","1,786.4","1,758.8","","-1.06%"
"09/25/2023","1,783.7","1,779.5","1,787.0","1,762.9","","0.22%"
"09/24/2023","1,779.7","1,777.2","1,782.1","1,776.8","","0.19%"
"09/22/2023","1,776.4","1,780.2","1,792.2","1,774.3","","-0.20%"
"09/21/2023","1,780.0","1,805.4","1,808.1","1,778.0","","-1.40%"
"09/20/2023","1,805.3","1,829.3","1,846.2","1,805.2","","-1.32%"
"09/19/2023","1,829.5","1,837.9","1,844.2","1,821.3","","-0.45%"
"09/18/2023","1,837.8","1,852.6","1,853.5","1,835.4","","-0.79%"
"09/17/2023","1,852.5","1,849.2","1,853.0","1,848.9","","0.18%"
"09/15/2023","1,849.2","1,869.8","1,875.2","1,839.5","","-1.10%"
"09/14/2023","1,869.7","1,844.7","1,872.8","1,844.1","","1.36%"
"09/13/2023","1,844.6","1,853.5","1,862.6","1,836.5","","-0.48%"
"09/12/2023","1,853.5","1,855.7","1,865.0","1,850.5","","-0.13%"
"09/11/2023","1,856.0","1,853.1","1,869.3","1,851.5","","0.16%"
"09/10/2023","1,853.0","1,871.8","1,871.9","1,851.9","","0.06%"
"09/08/2023","1,851.8","1,857.8","1,862.8","1,847.0","","-0.33%"
"09/07/2023","1,858.0","1,876.0","1,876.6","1,848.5","","-0.97%"
"09/06/2023","1,876.2","1,882.2","1,894.3","1,864.2","","-0.32%"
"09/05/2023","1,882.3","1,912.5","1,913.8","1,881.2","","-1.58%"
"09/04/2023","1,912.5","1,915.0","1,921.9","1,907.7","","-0.13%"
"09/03/2023","1,915.0","1,918.2","1,919.1","1,914.2","","-0.09%"
